Device_name1	ORD__Customer_code	ORD__Customer_name	ORD__Main_Community___VPN	ORD__Country_code	ORD__Country_name	UCPE_name1	AirportHub_id	profile	vedge_mpls_interface1	airporthub_router1	mpls_bw1	internet_bw1	Device_name2	UCPE_name2	vedge_mpls_interface2	mpls_bw2	airporthub_router2	internet_bw2	interface1	interface2
PJNB2255	164	united airlines  inc.	unitednet	ZA	SOUTH AFRICA	UCPEJNB0003	JNB		ge0/0.1510	PJNB520	10240	30720	PJNB2256	UCPEJNB0004	ge0/4.3951	10240	PJNB521	30720	gigabitethernet0/1	gigabitethernet0/2
PJNB2278	387	emirates	emiratesnet_aph	ZA	SOUTH AFRICA	UCPEJNB0003	JNB		ge0/0.1507	PJNB520	1536	8192	PJNB2287	UCPEJNB0004	ge0/4.3951	1536	PJNB521	8192	gigabitethernet0/1	gigabitethernet0/2
PKHH338	85	cathay pacific airways	cxnet	TW	TAIWAN, PROVINCE OF CHINA	UCPEKHH0001	KHH	Gold	ge0/0.1502	PKHH226	5120	15360	PKHH339	UCPEKHH0002	ge0/4.3951	5120	PKHH227	15360		
PKIX281	60	singapore airlines ltd.	sqnet	JP	JAPAN	UCPEKIX0001	KIX	Platinum	ge0/0.1503	PKIX064	3072	7168	PKIX282	UCPEKIX0002	ge0/4.3951	3072	PKIX065	7168	gigabitethernet0/1	gigabitethernet0/1
PKIX285	85	cathay pacific airways	cxnet	JP	JAPAN	UCPEKIX0001	KIX	Gold	ge0/0.1502	PKIX064	3072	25600	PKIX286	UCPEKIX0002	ge0/4.3951	3072	PKIX065	25600	gigabitethernet0/1	gigabitethernet0/1
PKIX287	113	p.t. garuda indonesia (persero)	ganet		JAPAN	UCPEKIX0001	KIX	Gold	ge0/0.1504	PKIX064	1024	6144							gigabitethernet0/1	
PKIX291	166	china airlines ltd.	china_airnet	JP	JAPAN	UCPEKIX0001	KIX	Gold	ge0/0.1505	PKIX064	1536	8192	PKIX292	UCPEKIX0002	ge0/4.3951	1536	PKIX065	8192	gigabitethernet0/1	gigabitethernet0/1
PKIX288	113	p.t. garuda indonesia (persero)	ganet		JAPAN	UCPEKIX0002	KIX	Gold	ge0/4.3951	PKIX065	1024	6144							gigabitethernet0/1	gigabitethernet0/1
PKUL2093	60	singapore airlines ltd.	sqnet	MY	MALAYSIA	UCPEKUL0003	KUL	Platinum	ge0/0.1503	PKUL513	8192	15360							gigabitethernet0/0/1	
PKUL2123	113	p.t. garuda indonesia (persero)	ganet	MY	MALAYSIA	UCPEKUL0003	KUL	Gold	ge0/0.1504	PKUL513	1024	6144	PKUL2124	UCPEKUL0004	ge0/4.3951	1024	PKUL514	6144	gigabitethernet0/0/1	gigabitethernet0/2
